date,day_of_week,root_cause,scheduled_hours,downtime_hours,runtime_hours,throughput_kg_per_hr,planned_input_kg,actual_input_kg,expected_output_kg,net_good_output_kg,rejected_kg,process_yield_pct,target_achievement_pct,downtime_pct,rejection_pct,energy_consumed_kwh,energy_intensity_kwh_per_kg,revenue_inr,total_cost_inr,daily_profit_inr,waste_loss_inr,downtime_opportunity_loss_inr
2026-03-24,Tuesday,Calibration Error,16.0,0.48,15.52,63.6,1000.0,987.4,880.0,832.0,31.9,87.5,94.5,3.0,3.69,203.1,0.244,54078.08,47993.71,6084.37,2073.5,720.72
2026-03-25,Wednesday,Calibration Error,16.0,2.36,13.64,64.5,1001.4,879.9,881.2,733.1,36.1,87.4,83.2,14.7,4.69,188.2,0.257,47654.32,43368.65,4285.67,2346.5,6949.8
2026-03-26,Thursday,Equipment Breakdown,16.0,5.95,10.05,59.4,1002.8,597.3,882.5,506.5,9.2,86.3,57.4,37.2,1.78,169.4,0.334,32922.23,31357.25,1564.98,598.0,23194.6
2026-03-27,Friday,Normal Operation,16.0,0.48,15.52,65.6,1004.2,1018.0,883.7,889.4,8.0,88.2,100.6,3.0,0.89,203.2,0.228,57810.32,49278.15,8532.17,520.0,0.0
2026-03-28,Saturday,Normal Operation,16.0,0.67,15.33,62.9,1005.6,963.6,884.9,846.0,6.8,88.5,95.6,4.2,0.8,201.6,0.238,54990.22,46984.69,8005.53,442.0,2402.4
2026-03-29,Sunday,Equipment Breakdown,8.0,5.23,2.77,65.0,503.5,180.2,443.1,158.3,3.8,90.0,35.7,65.4,2.34,79.2,0.5,10291.06,13161.45,-2870.38,247.0,18492.76
2026-03-30,Monday,Normal Operation,16.0,0.21,15.79,60.4,1008.3,954.2,887.3,837.9,9.4,88.8,94.4,1.3,1.11,205.3,0.245,54463.47,46615.76,7847.71,611.0,3094.52
2026-03-31,Tuesday,Normal Operation,16.0,0.55,15.45,63.2,1009.7,976.3,888.5,856.8,14.6,89.3,96.4,3.4,1.68,202.6,0.236,55690.26,47522.89,8167.37,949.0,1910.48
2026-04-01,Wednesday,Normal Operation,16.0,0.99,15.01,65.2,1011.0,979.3,889.7,871.6,9.9,90.0,98.0,6.2,1.13,199.1,0.228,56656.87,47622.58,9034.29,643.5,1813.24
2026-04-02,Thursday,Normal Operation,16.0,0.2,15.8,60.5,1012.4,956.4,890.9,838.2,16.7,89.4,94.1,1.2,1.95,205.4,0.245,54480.06,46708.18,7771.88,1085.5,3203.2
2026-04-03,Friday,Normal Operation,16.0,0.93,15.07,63.5,1013.7,956.7,892.0,838.9,11.2,88.9,94.0,5.8,1.32,199.6,0.238,54525.54,46677.76,7847.78,728.0,3260.4
2026-04-04,Saturday,Normal Operation,16.0,0.27,15.73,63.5,1015.0,998.3,893.2,875.2,11.5,88.8,98.0,1.7,1.3,204.9,0.234,56885.31,48464.54,8420.77,747.5,955.24
2026-04-05,Sunday,Normal Operation,8.0,0.59,7.41,64.9,508.1,481.2,447.2,419.2,7.0,88.6,93.8,7.4,1.64,106.3,0.254,27250.6,26006.67,1243.93,455.0,1538.68
2026-04-06,Monday,Equipment Breakdown,16.0,4.13,11.87,61.9,1017.5,735.0,895.4,624.5,10.8,86.4,69.7,25.8,1.7,184.0,0.295,40589.52,37250.01,3339.51,702.0,16159.0
2026-04-07,Tuesday,Normal Operation,16.0,0.76,15.24,60.7,1018.8,925.4,896.5,821.2,10.8,89.9,91.6,4.7,1.3,200.9,0.245,53375.28,45375.29,7999.99,702.0,5342.48
